feature,importance
COGS_lag_1,439
dayofmonth,385
COGS_lag_90,377
COGS_lag_7,359
Revenue_lag_364,353
COGS_lag_364,339
COGS_lag_365,323
COGS_lag_56,312
Revenue_lag_56,287
COGS_md_prior_mean,274
Revenue_lag_90,272
Revenue_lag_365,268
Revenue_lag_30,253
COGS_roll3_std,248
Revenue_lag_7,248
COGS_lag_14,247
Revenue_lag_28,246
COGS_roll7_vs_roll30,245
Revenue_roll7_vs_roll30,244
Revenue_md_prior_mean,235
COGS_lag_30,233
COGS_lag_28,233
COGS_lag1_vs_roll7,223
gross_margin_rate_lag_1,220
Revenue_roll3_std,217
COGS_lag_180,210
Revenue_lag_21,209
COGS_lag_21,202
Revenue_lag_180,195
Revenue_lag1_vs_roll7,190
COGS_lag_3,190
Revenue_lag_2,190
Revenue_lag_14,189
COGS_lag_2,184
Revenue_lag_1,178
Revenue_md_prior_std,174
COGS_md_prior_std,169
Revenue_roll7_std,164
dayofweek,163
gross_margin_lag_1,157
Revenue_lag_3,147
COGS_roll7_std,146
dow_cos,138
Revenue_roll3_min,121
Revenue_roll30_vs_roll90,118
dow_sin,115
COGS_roll7_min,114
COGS_roll7_median,111
COGS_roll56_std,110
COGS_roll30_vs_roll90,108
COGS_roll3_min,107
Revenue_roll28_std,104
Revenue_roll7_median,104
COGS_roll3_median,101
COGS_roll30_std,100
COGS_roll7_mean,96
Revenue_roll7_min,93
COGS_roll14_std,92
Revenue_roll365_std,91
Revenue_roll14_std,90
COGS_roll180_std,89
Revenue_roll56_std,88
year_cos,88
COGS_roll3_mean,85
COGS_roll365_mean,83
Revenue_roll7_mean,83
Revenue_roll180_mean,82
year_sin,82
COGS_roll14_mean,79
COGS_roll28_std,78
days_to_tet,78
days_after_tet,77
Revenue_roll365_median,74
Revenue_roll14_min,74
Revenue_roll90_std,73
revenue_cogs_ratio_lag_1,72
COGS_roll180_mean,72
COGS_roll3_max,71
COGS_roll365_std,71
Revenue_roll3_median,70
Revenue_roll365_mean,70
dayofyear,69
Revenue_roll14_median,66
Revenue_roll30_std,66
tet_proximity,65
Revenue_roll180_min,64
Revenue_roll3_mean,63
COGS_ewm7_mean,62
Revenue_ewm7_mean,62
Revenue_roll3_max,58
COGS_roll7_max,57
COGS_roll14_min,57
Revenue_roll14_mean,55
Revenue_roll180_median,55
COGS_roll180_min,55
COGS_ewm14_mean,54
COGS_roll90_vs_roll365,53
COGS_roll14_median,53
Revenue_ewm14_mean,51
Revenue_roll7_max,51
Revenue_roll14_max,50
COGS_roll28_median,50
COGS_roll14_max,50
Revenue_roll28_min,49
Revenue_roll180_std,48
Revenue_roll90_min,48
COGS_roll90_std,47
Revenue_roll28_median,47
Revenue_roll90_mean,46
COGS_roll28_mean,45
Revenue_roll365_min,43
COGS_roll30_mean,43
COGS_roll30_median,43
Revenue_roll28_mean,43
COGS_roll365_median,43
COGS_roll56_mean,43
Revenue_roll56_mean,41
COGS_roll90_min,40
COGS_roll28_max,40
Revenue_roll30_median,40
COGS_roll90_median,38
COGS_roll56_max,37
Revenue_roll56_min,37
COGS_roll56_median,37
Revenue_roll90_vs_roll365,36
Revenue_ewm30_mean,36
COGS_ewm30_mean,36
Revenue_roll90_median,34
Revenue_ewm90_mean,33
Revenue_roll30_min,33
COGS_ewm90_mean,32
COGS_roll56_min,32
Revenue_roll30_mean,32
Revenue_roll56_median,30
Revenue_roll56_max,29
COGS_roll180_median,29
COGS_roll90_max,29
COGS_roll180_max,26
COGS_roll28_min,25
COGS_roll30_max,25
COGS_roll365_min,22
COGS_roll30_min,22
Revenue_roll30_max,22
Revenue_roll28_max,21
weekofyear,21
COGS_roll90_mean,19
Revenue_roll90_max,17
Revenue_roll180_max,17
month_cos,14
year,6
is_month_start,6
month,5
Revenue_roll365_max,3
COGS_roll365_max,3
month_sin,2
quarter,1
year_index,1
is_month_end,1
is_fixed_holiday,1
is_1212,0
is_1111,0
is_sale_day,0
is_black_friday,0
is_year_start,0
is_quarter_end,0
is_year_end,0
is_weekend,0
is_quarter_start,0
is_tet_week,0
is_pre_tet_2w,0
is_pre_tet_month,0
