feature,importance
dayofmonth,372
COGS_lag_56,360
Revenue_lag_1,358
COGS_lag_90,326
Revenue_lag_364,322
Revenue_lag_7,311
Revenue_lag_365,310
COGS_lag_364,308
Revenue_lag_90,298
COGS_lag_7,297
COGS_lag_365,282
Revenue_roll3_std,281
Revenue_lag_30,270
COGS_md_prior_mean,261
Revenue_md_prior_mean,249
Revenue_lag_21,245
COGS_lag_30,243
Revenue_lag_56,239
Revenue_lag_28,236
COGS_lag_14,232
gross_margin_rate_lag_1,225
COGS_roll3_std,223
COGS_roll7_vs_roll30,222
COGS_lag_28,213
gross_margin_lag_1,210
COGS_lag1_vs_roll7,209
Revenue_lag_14,208
Revenue_lag_180,203
COGS_lag_1,203
Revenue_lag1_vs_roll7,202
COGS_lag_21,200
COGS_lag_180,194
Revenue_roll7_vs_roll30,187
COGS_lag_3,185
Revenue_lag_2,182
COGS_roll7_std,175
COGS_md_prior_std,173
COGS_lag_2,172
dayofweek,164
Revenue_lag_3,158
Revenue_roll7_std,154
dow_cos,151
Revenue_md_prior_std,143
Revenue_roll3_min,135
Revenue_roll7_min,133
dow_sin,131
COGS_roll30_vs_roll90,130
Revenue_roll30_vs_roll90,123
COGS_roll7_min,112
COGS_roll3_min,112
COGS_roll56_std,104
COGS_roll30_std,103
Revenue_roll14_std,101
Revenue_roll7_median,100
Revenue_roll7_mean,96
COGS_roll7_median,95
Revenue_roll14_min,95
year_sin,95
year_cos,94
COGS_roll3_median,93
COGS_roll14_std,91
COGS_roll180_mean,90
COGS_roll180_std,88
COGS_roll7_mean,86
Revenue_roll365_std,85
COGS_ewm7_mean,84
Revenue_roll28_std,84
Revenue_roll3_max,83
revenue_cogs_ratio_lag_1,79
COGS_roll3_mean,78
COGS_roll14_median,78
Revenue_roll3_mean,77
Revenue_roll3_median,77
COGS_roll14_min,77
COGS_roll365_std,76
Revenue_roll56_std,75
Revenue_roll180_mean,75
COGS_ewm14_mean,73
COGS_roll14_mean,72
days_after_tet,69
COGS_roll90_vs_roll365,68
Revenue_ewm7_mean,68
COGS_roll28_std,67
tet_proximity,67
Revenue_roll7_max,67
Revenue_roll14_mean,65
Revenue_roll90_std,65
days_to_tet,63
Revenue_roll180_std,61
Revenue_roll365_median,61
Revenue_roll365_mean,61
dayofyear,61
COGS_roll7_max,61
COGS_roll3_max,57
Revenue_roll14_median,57
Revenue_roll180_median,55
Revenue_ewm14_mean,55
Revenue_roll30_std,55
COGS_roll365_mean,54
Revenue_roll14_max,54
Revenue_roll56_mean,51
Revenue_roll90_vs_roll365,51
COGS_roll90_std,51
COGS_roll28_median,50
Revenue_roll28_min,49
Revenue_roll56_median,48
COGS_roll28_mean,46
Revenue_roll90_min,46
Revenue_roll28_mean,45
Revenue_roll28_median,44
COGS_roll56_max,43
Revenue_roll30_min,43
COGS_roll56_mean,42
COGS_roll28_min,41
COGS_roll56_median,41
Revenue_roll30_mean,41
COGS_roll30_mean,39
Revenue_roll56_max,39
Revenue_roll56_min,39
COGS_ewm30_mean,38
Revenue_roll30_median,37
Revenue_ewm30_mean,37
Revenue_roll365_min,36
Revenue_roll180_min,36
COGS_roll180_median,35
COGS_ewm90_mean,35
COGS_roll30_median,35
COGS_roll56_min,34
Revenue_ewm90_mean,34
COGS_roll90_mean,33
COGS_roll180_min,31
Revenue_roll90_mean,31
COGS_roll90_median,31
COGS_roll180_max,30
Revenue_roll90_median,30
COGS_roll14_max,28
COGS_roll30_min,28
Revenue_roll28_max,26
COGS_roll30_max,26
COGS_roll365_median,26
COGS_roll90_min,22
weekofyear,21
COGS_roll365_min,19
Revenue_roll30_max,19
COGS_roll90_max,19
COGS_roll28_max,16
Revenue_roll90_max,16
Revenue_roll180_max,16
year,13
month_sin,9
month_cos,7
Revenue_roll365_max,6
is_month_start,5
is_fixed_holiday,4
month,3
COGS_roll365_max,3
quarter,1
is_weekend,1
year_index,1
is_1212,0
is_1111,0
is_sale_day,0
is_black_friday,0
is_year_start,0
is_quarter_end,0
is_year_end,0
is_month_end,0
is_quarter_start,0
is_tet_week,0
is_pre_tet_2w,0
is_pre_tet_month,0
