feature,importance
COGS_lag_1,0.3083798
Revenue_lag_1,0.0627095
Revenue_md_prior_mean,0.04016331
COGS_lag_364,0.03654442
Revenue_roll90_max,0.023770686
COGS_md_prior_mean,0.021757374
dayofmonth,0.015795374
COGS_roll3_min,0.015651966
COGS_roll14_min,0.014051829
year,0.012660053
COGS_roll7_min,0.011457135
COGS_lag_7,0.010716326
COGS_roll30_mean,0.010644019
COGS_lag_28,0.010560096
month_sin,0.01045541
Revenue_roll56_mean,0.010169012
Revenue_lag_28,0.008928362
COGS_lag_365,0.0088015655
COGS_roll180_max,0.008597425
Revenue_roll365_min,0.008100846
Revenue_lag_364,0.007738646
is_pre_tet_month,0.007150948
COGS_roll7_max,0.0063985903
COGS_lag_14,0.004998965
COGS_roll365_min,0.004365072
COGS_roll7_median,0.0043412773
Revenue_roll90_vs_roll365,0.004152253
dayofweek,0.004118739
dow_cos,0.0041183657
COGS_roll7_mean,0.0040239044
COGS_roll56_min,0.003977603
Revenue_roll7_min,0.0038903074
Revenue_lag_365,0.003848342
Revenue_roll180_max,0.0038415953
COGS_roll365_std,0.0038295423
COGS_lag_90,0.0038072558
year_cos,0.0036951208
is_fixed_holiday,0.0036837198
Revenue_ewm30_mean,0.003682338
Revenue_roll365_max,0.0036379914
COGS_ewm14_mean,0.0036248646
COGS_roll180_mean,0.0036154492
Revenue_roll180_min,0.003582182
Revenue_lag_90,0.00354504
Revenue_roll56_max,0.0035284332
COGS_ewm30_mean,0.0035008667
dow_sin,0.0034433375
COGS_roll180_std,0.0034351288
COGS_roll30_std,0.0033433584
Revenue_roll28_median,0.0033193033
Revenue_roll365_median,0.0032149954
Revenue_roll90_min,0.0031663105
year_sin,0.003130398
Revenue_lag1_vs_roll7,0.0031267812
COGS_roll56_std,0.0031191276
COGS_roll30_vs_roll90,0.0029975162
COGS_ewm7_mean,0.002952199
COGS_roll365_median,0.0029354622
Revenue_ewm90_mean,0.0029337797
Revenue_lag_7,0.0029198474
COGS_lag_56,0.002897237
COGS_roll56_mean,0.0028273936
dayofyear,0.00280438
month_cos,0.002781105
Revenue_roll3_min,0.0027386777
Revenue_roll30_min,0.0027168184
COGS_lag1_vs_roll7,0.0026958406
COGS_roll90_max,0.0026430213
Revenue_roll30_max,0.0026372822
COGS_roll7_vs_roll30,0.0026211601
Revenue_roll7_mean,0.0026168737
COGS_roll3_max,0.002610939
days_after_tet,0.0026034734
Revenue_roll30_std,0.00258079
COGS_roll28_median,0.0025258844
COGS_roll28_std,0.0025102817
Revenue_lag_14,0.0025013017
Revenue_roll28_min,0.002499032
COGS_lag_30,0.0024976346
Revenue_lag_56,0.0024968581
Revenue_roll56_median,0.0024878066
weekofyear,0.0024057694
days_to_tet,0.0024040143
Revenue_roll7_max,0.0023993268
Revenue_roll14_min,0.0023558016
Revenue_roll28_std,0.0023538086
Revenue_roll365_mean,0.002349017
is_pre_tet_2w,0.0023425338
COGS_roll30_min,0.002337601
is_month_start,0.0023165103
COGS_roll14_max,0.0022893364
Revenue_roll3_median,0.0022329686
Revenue_ewm14_mean,0.0022054825
tet_proximity,0.0021903403
COGS_lag_21,0.0021583566
COGS_md_prior_std,0.0021558397
Revenue_roll30_median,0.002154504
COGS_roll14_mean,0.0021366926
COGS_lag_180,0.0021311494
COGS_roll7_std,0.0020878147
COGS_roll3_mean,0.0020716437
COGS_roll365_mean,0.002067551
Revenue_roll180_median,0.0020545833
Revenue_roll28_max,0.0020367135
year_index,0.0019959144
Revenue_roll14_median,0.0019728139
Revenue_roll7_vs_roll30,0.001969035
Revenue_ewm7_mean,0.0019656764
Revenue_roll30_vs_roll90,0.0019014486
COGS_roll30_median,0.0018434953
Revenue_roll56_std,0.0018310689
COGS_roll28_min,0.0018304684
is_month_end,0.0018097494
COGS_roll14_median,0.0018038148
COGS_roll56_median,0.0017900224
Revenue_roll7_median,0.0017774745
COGS_roll90_median,0.0017724591
Revenue_roll14_max,0.0017672383
month,0.001760662
Revenue_roll365_std,0.0017368115
COGS_roll30_max,0.0017252039
Revenue_lag_180,0.0017162926
Revenue_roll28_mean,0.0017011481
COGS_lag_3,0.0016882756
Revenue_roll14_mean,0.001685739
COGS_roll14_std,0.0016741444
Revenue_roll30_mean,0.0016733082
Revenue_roll7_std,0.0016587384
COGS_roll90_vs_roll365,0.0016384228
COGS_roll180_min,0.0016058541
COGS_roll3_median,0.0015835052
Revenue_lag_2,0.001583486
Revenue_md_prior_std,0.0015767948
Revenue_lag_21,0.0015421261
Revenue_roll3_max,0.0015249116
Revenue_roll3_mean,0.0014977173
COGS_roll90_std,0.0014567227
COGS_roll28_mean,0.0014134438
Revenue_roll180_mean,0.0013936925
Revenue_lag_30,0.0013872939
COGS_roll56_max,0.0013870059
Revenue_roll3_std,0.0013806628
COGS_ewm90_mean,0.0013560075
COGS_roll28_max,0.0013398866
COGS_roll3_std,0.0013356641
quarter,0.001333349
COGS_lag_2,0.0013292821
Revenue_roll90_std,0.0013233531
COGS_roll90_min,0.0013160537
revenue_cogs_ratio_lag_1,0.001267636
Revenue_roll90_median,0.0012672531
Revenue_roll56_min,0.0012308703
Revenue_roll14_std,0.001225771
gross_margin_rate_lag_1,0.0012226173
Revenue_lag_3,0.0012099738
gross_margin_lag_1,0.0012084626
COGS_roll90_mean,0.0012057893
